ADFQ1	ADFQ2	ADFQ3	ADFQ4	ADFQ5	ADFQ6	ADFQ7	CBFQ1	CBFQ2	CBFQ3	CBFQ4	CBFQ5	CBFQ6	CDFQ1	CDFQ2	CDFQ3	CUFQ1	CUFQ2	CUFQ3	CUFQ4	CUFQ5
1.113	-3.053	1.864	1.477	-1.097	0.177	0.356	0.656	-3.454	-1.976	-0.15	-1.121	-0.596	-2.403	3.139	1.48	2.862	3.132	-0.085	-0.032	0.156
0.334	1.765	0.604	1.205	-0.521	-0.293	0.619	-0.329	0.344	-0.233	-0.068	0.261	0.287	0.308	0.065	-0.311	-0.329	0.008	-0.197	0.281	0.026
-0.437	-0.136	0.171	-1.459	-0.784	0.614	0.179	-0.367	0.097	-0.142	-0.488	-1.142	2.888	0.299	0.136	-0.377	-0.36	0.056	-0.22	0.229	-1.972
0.478	1.747	1.076	0.042	-1.812	-0.258	-0.103	-0.342	-0.451	1.166	4	-0.549	0.034	0.622	-1.717	3.533	-0.396	0	-0.41	-4.209	0.099
-0.416	-0.519	-0.106	0.293	-0.05	0.312	-0.586	-0.295	0.286	-0.44	-0.005	1.194	-0.587	0.319	0.064	-0.395	-0.337	-0.015	-0.248	0.27	0.51
-0.311	-0.234	0.08	-1.429	-0.871	0.755	0.125	-0.348	0.288	-0.35	-0.063	0.128	1.472	0.307	0.081	-0.349	-0.332	-0.02	-0.155	0.271	0.238
0.265	0.498	2.638	-0.922	3.096	0.329	0.322	-0.317	0.462	0.234	-0.461	-0.452	-0.196	0.307	0.081	-0.34	-0.342	0.003	-0.199	0.267	-0.242
3.761	0.039	-1.725	-0.657	0.631	0.119	-0.079	4.065	1.171	-0.203	0.282	-0.135	0.115	-3.358	-2.465	-0.829	2.977	-3.02	-0.191	-0.04	-0.16
-0.205	-0.418	0.138	-0.948	-0.076	-3.969	-0.896	-0.328	0.368	0.23	-0.239	-0.905	-1.038	0.307	0.115	-0.435	-0.353	0.077	-0.402	0.278	-2.254
-0.527	-0.176	-0.569	0.279	0.376	0.536	-1.264	-0.294	0.449	-0.138	-0.133	0.439	-1.315	0.302	0.072	-0.301	-0.305	0.024	-0.232	0.292	0.368
-0.527	-0.178	-0.565	0.282	0.381	0.548	-1.268	-0.299	0.351	0.259	-0.425	-0.498	-1.006	0.308	0.062	-0.297	-0.318	0.007	-0.182	0.276	0.304
-0.585	-0.093	-0.558	0.301	0.476	0.307	-1.177	-0.312	0.417	0.263	-0.389	-0.569	-0.728	0.307	0.065	-0.299	-0.321	-0.005	-0.184	0.282	0.209
-0.51	-0.328	-0.464	0.932	0.539	0.047	-0.923	-0.342	0.27	-0.307	-0.073	0.013	1.121	0.304	0.078	-0.32	-0.333	0.019	-0.204	0.271	-0.309
-0.56	0.008	-0.984	0.802	0.591	-0.183	1.388	-0.324	0.352	0.18	-0.404	-0.752	-0.197	0.305	0.081	-0.344	-0.127	-0.072	4.238	-0.176	-0.092
-0.484	-0.148	-0.571	0.177	0.326	0.321	-0.748	0.598	-1.921	3.278	-1.168	1.31	0.342	0.209	-0.155	1.313	-0.329	0.039	-0.228	0.249	-0.523
-0.318	-0.074	0.055	-1.778	-0.909	0.594	0.758	-0.237	-0.116	-1.086	0.355	2.085	0.783	0.322	0.037	-0.38	-0.353	-0.158	-0.222	0.341	1.961
-0.393	-0.127	-0.141	-1.091	-0.46	0.522	0.054	-0.228	-0.056	-0.964	0.293	2.125	-0.118	0.322	0.042	-0.394	-0.343	-0.155	-0.221	0.341	2.151
-0.593	-0.112	-0.77	0.777	0.476	-0.604	2.217	-0.33	0.304	0.153	-0.35	-0.947	-0.062	0.304	0.071	-0.309	-0.323	0.035	-0.215	0.26	-0.369
-0.481	-0.043	-0.761	0.263	0.233	-0.14	1.782	-0.326	0.361	0.175	-0.384	-0.82	-0.074	0.304	0.08	-0.337	-0.328	0.033	-0.221	0.254	-0.457
0.394	1.584	0.586	1.453	-0.546	0.267	-0.759	-0.303	0.478	-0.1	-0.129	0.334	-1.123	0.304	0.069	-0.308	-0.31	0.011	-0.222	0.295	0.358
